Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
24,0.925224725,0.766784601,0.830385676,0.207022218,0.785521532,0.292730096,0.264971328,0.794562805,0.464501186,0.520592503,0.280453646,0.696061185,0.451749235,0.647192899,0.42534169,0.467760022,0.702780785,0.656322565,0.601470539,0.577957837,0.552137314,0.472746978,0.678358319,0.514749735,0.595936385,0.449893359,0.429570136,0.313420139,3.46E-05,0
75,0.976957774,0.769394235,0.846519031,0.310597014,0.764837869,0.263421162,0.265528406,0.786166835,0.459408487,0.509125701,0.372962808,0.767876787,0.487559154,0.650260671,0.269591055,0.429581491,0.732418095,0.60913099,0.55066504,0.578901999,0.561076948,0.517227423,0.664495825,0.416353446,0.613236668,0.369036951,0.417257924,0.313332148,0.000513017,0
256,0.980277793,0.75920961,0.839341345,0.228195432,0.758079582,0.25359206,0.262446041,0.784938238,0.43915734,0.525301634,0.344521534,0.667977612,0.260960456,0.662107499,0.284732572,0.473962154,0.747948589,0.588318313,0.643785508,0.580026416,0.564890954,0.530186048,0.66310208,0.453119784,0.613791787,0.410544208,0.415866048,0.313068881,0.001868347,0
301,0.951638862,0.778932047,0.85106448,0.274561363,0.771323816,0.264544554,0.26893862,0.788742068,0.436157325,0.49074619,0.397154262,0.706552763,0.36544136,0.622457339,0.391826779,0.450801055,0.760670844,0.674308728,0.495728892,0.578606785,0.563449289,0.527059067,0.662256268,0.32538947,0.580452475,0.372637998,0.41799973,0.313892752,3.89E-05,0
352,0.952116532,0.778907287,0.859952532,0.255047171,0.766222407,0.252861156,0.26951884,0.784598365,0.448936346,0.498206837,0.273434764,0.702757482,0.462947335,0.631197431,0.402660574,0.46136167,0.731291097,0.643161235,0.556214666,0.581576839,0.557269524,0.478055413,0.665230713,0.427552117,0.569061342,0.437160303,0.421043039,0.315133621,3.85E-05,0
515,0.977982448,0.76900004,0.846204685,0.2721466,0.764412991,0.261202214,0.264926098,0.785886296,0.452344917,0.509528317,0.392133703,0.758349416,0.507566402,0.658021322,0.375487048,0.45515409,0.718710872,0.614678615,0.548209994,0.579607669,0.558788771,0.487781496,0.667504709,0.386037462,0.585229841,0.442473218,0.416246476,0.313286729,0.00038885,0
862,0.932759478,0.752632024,0.877948081,0.327953776,0.776932252,0.265444308,0.259156763,0.790096863,0.484676578,0.506231123,0.30056682,0.75509108,0.439001315,0.620294522,0.171303715,0.406130695,0.747505247,0.62039491,0.673238151,0.58549396,0.558877403,0.493730509,0.669617831,0.341802465,0.552829967,0.336997879,0.41688707,0.312525281,0.000614608,0
944,0.936403169,0.770856259,0.836073101,0.257774475,0.778397048,0.248366446,0.26865632,0.781569512,0.46114514,0.51473933,0.203787669,0.698165236,0.457959303,0.65432811,0.340793506,0.454623763,0.703077393,0.647950675,0.52518573,0.57455468,0.561459113,0.527056143,0.658417266,0.328169119,0.546167227,0.328030914,0.421040125,0.319052726,0.000349926,0
958,0.949206269,0.773068893,0.907032244,0.396217342,0.75952586,0.279555864,0.261466999,0.790023727,0.462785364,0.519091517,0.311822457,0.743870079,0.483302239,0.59888779,0.196520792,0.429661413,0.743818864,0.695387561,0.682214738,0.582904559,0.563861646,0.561169875,0.659254572,0.466881892,0.583872883,0.502937488,0.416866449,0.310564388,2.96E-05,0
1177,0.973656537,0.76158109,0.844276749,0.274124912,0.759896693,0.256412231,0.265521408,0.785069326,0.471924101,0.506425629,0.359870594,0.730750315,0.373442859,0.661739305,0.31360279,0.452363559,0.725367188,0.644721391,0.594658967,0.581940663,0.559876171,0.482153923,0.664710874,0.456592165,0.588175115,0.49114307,0.415009279,0.313676888,0.006149975,0
